Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,8779;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8849;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,8949;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9019;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,9119;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9179;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,9279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,9449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9519;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,9619;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9679;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,9779;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,9849;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,9949;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0019;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,0119;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0179;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,0279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,0449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0529;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,0619;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0679;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,0789;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,0849;1,02461;-1
